r,z,intensity
12,34,100.861386139
12,35,89.511299435
12,36,97.0438695163
12,37,85.2356687898
12,38,92.4238636364
12,39,87.294627383
12,40,87.514370664
12,41,86.032731377
12,42,73.4299319728
12,43,72.5621301775
12,44,0
12,45,0
12,46,0
12,47,0
15,1,60.1638917794
15,2,90.7901422764
15,3,117.613513514
15,4,132.792907801
15,5,125.054750746
15,6,131.942786943
15,7,124.319141689
15,8,121.255059022
15,9,118.252888889
15,10,119.45855615
15,11,120.841171251
15,12,121.612593828
15,13,119.385941043
15,14,121.771232877
15,15,122.324116743
15,16,120.529255319
15,17,121.214910026
15,18,119.134133043
15,19,118.731964809
15,20,123.069912609
15,21,125.775
15,22,123.249824561
15,23,119.512510089
15,24,118.980501393
15,25,117.618556701
15,26,114.533333333
15,27,117.931726908
15,28,115.1232493
15,29,116.40802213
15,30,114.205307263
15,31,106.371610845
15,32,105.555347092
15,33,106.245478036
15,34,98.5734870317
15,35,116.260869565
15,36,89.9130434783
15,37,75.2450331126
15,38,83.7986577181
15,39,75.9402985075
15,40,82.6836734694
15,41,71.8518518519
15,42,72.1621621622
15,43,0
15,44,0
15,45,0
15,46,0
15,47,0
18,1,58.899576133
18,2,90.2964705882
18,3,113.780082988
18,4,123.558690352
18,5,125.533624748
18,6,115.150745445
18,7,115.997273966
18,8,113.263310745
18,9,114.680767339
18,10,117.396946565
18,11,114.650974798
18,12,108.858585859
18,13,110.850025947
18,14,114.387637204
18,15,117.931515152
18,16,120.788026878
18,17,120.101382488
18,18,118.823399558
18,19,118.241961415
18,20,116.443430657
18,21,113.474528302
18,22,110.650992685
18,23,112.984516129
18,24,114.709388972
18,25,118.201970443
18,26,117.363315697
18,27,112.513011152
18,28,112.627659574
18,29,113.386956522
18,30,109.782608696
18,31,110.428571429
18,32,118.83625731
18,33,109.958333333
18,34,115.146341463
18,35,125.0
18,36,0
18,37,54.0
18,38,0
18,39,0
18,40,0
18,41,0
18,42,0
18,43,0
18,44,0
18,45,0
18,46,0
18,47,0
21,1,59.9923547401
21,2,91.5905349794
21,3,111.442291838
21,4,116.447357112
21,5,113.755671253
21,6,108.900458142
21,7,105.543971349
21,8,109.064887493
21,9,108.835756597
21,10,106.906478579
21,11,105.336933045
21,12,103.756787984
21,13,103.968184654
21,14,104.411405295
21,15,110.058944483
21,16,114.326530612
21,17,114.828724353
21,18,111.675350701
21,19,110.777415852
21,20,109.655011655
21,21,106.451572327
21,22,111.72519084
21,23,115.998236332
21,24,122.530120482
21,25,116.761797753
21,26,108.879901961
21,27,109.332298137
21,28,117.068322981
21,29,119.056521739
21,30,107.850746269
21,31,116.591836735
21,32,100.666666667
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
21,40,0
21,41,0
21,42,0
21,43,0
21,44,0
21,45,0
21,46,0
21,47,0
24,1,63.4797125951
24,2,92.7542222222
24,3,110.610744581
24,4,112.137521968
24,5,105.176070039
24,6,102.931349016
24,7,99.1649227703
24,8,98.6474133601
24,9,99.4249291785
24,10,98.5135446686
24,11,97.6102719033
24,12,100.275661717
24,13,99.5108225108
24,14,102.718439174
24,15,106.525714286
24,16,108.990466102
24,17,108.492027335
24,18,111.194477791
24,19,106.199460916
24,20,99.6103151862
24,21,103.233937397
24,22,112.266393443
24,23,124.0
24,24,111.838616715
24,25,104.023178808
24,26,111.134693878
24,27,122.652968037
24,28,121.965116279
24,29,101.377358491
24,30,123.5
24,31,0
24,32,0
24,33,0
24,34,0
24,35,0
24,36,0
24,37,0
24,38,0
24,39,0
24,40,0
24,41,0
24,42,0
24,43,0
24,44,0
24,45,0
24,46,0
24,47,0
27,1,61.1575221239
27,2,91.4286447639
27,3,111.755040323
27,4,111.280394304
27,5,105.750281849
27,6,99.8020361991
27,7,94.8586651711
27,8,94.4246655032
27,9,95.9089253188
27,10,96.0169918188
27,11,96.977303989
27,12,97.4273232724
27,13,100.508566276
27,14,105.74715262
27,15,104.263888889
27,16,107.904645477
27,17,111.207124011
27,18,105.9543379
27,19,101.0
27,20,99.6840077071
27,21,111.876237624
27,22,118.583333333
27,23,111.374531835
27,24,108.859903382
27,25,113.651612903
27,26,117.144067797
27,27,107.586206897
27,28,84.5
27,29,0
27,30,0
27,31,0
27,32,0
27,33,0
27,34,0
27,35,0
27,36,0
27,37,0
27,38,0
27,39,0
27,40,0
27,41,0
27,42,0
27,43,0
27,44,0
27,45,0
27,46,0
27,47,0
30,1,59.6078732106
30,2,89.1887890005
30,3,105.213185459
30,4,108.989968652
30,5,103.226006192
30,6,98.1029411765
30,7,97.119047619
30,8,93.6459784674
30,9,93.0808210391
30,10,93.2952586207
30,11,94.9046822742
30,12,101.073385519
30,13,108.622249389
30,14,103.582920792
30,15,106.982312925
30,16,109.182089552
30,17,107.998275862
30,18,105.085020243
30,19,101.957494407
30,20,110.466850829
30,21,112.759197324
30,22,113.648241206
30,23,114.421052632
30,24,121.392857143
30,25,120.084745763
30,26,110.303030303
30,27,0
30,28,0
30,29,0
30,30,0
30,31,0
30,32,0
30,33,0
30,34,0
30,35,0
30,36,0
30,37,0
30,38,0
30,39,0
30,40,0
30,41,0
30,42,0
30,43,0
30,44,0
30,45,0
30,46,0
30,47,0
33,1,59.5826727067
33,2,85.7895728643
33,3,105.159946237
33,4,110.337134711
33,5,105.157894737
33,6,98.3669268985
33,7,92.3007784855
33,8,92.9721611722
33,9,92.9059367772
33,10,93.2196836555
33,11,99.1871165644
33,12,100.186615187
33,13,96.4926764314
33,14,101.743440233
33,15,103.38974359
33,16,107.0
33,17,106.929133858
33,18,104.989417989
33,19,107.235294118
33,20,110.043307087
33,21,102.705479452
33,22,101.08988764
33,23,113.023255814
33,24,108.842105263
33,25,111.8
33,26,0
33,27,0
33,28,0
33,29,0
33,30,0
33,31,0
33,32,0
33,33,0
33,34,0
33,35,0
33,36,0
33,37,0
33,38,0
33,39,0
33,40,0
33,41,0
33,42,0
33,43,0
33,44,0
33,45,0
33,46,0
33,47,0
36,1,58.6681332495
36,2,84.0597315436
36,3,99.2700675169
36,4,102.08050513
36,5,100.236464968
36,6,95.5901515152
36,7,95.1111111111
36,8,92.9510433387
36,9,92.9260273973
36,10,96.7757009346
36,11,97.844
36,12,94.4677187948
36,13,95.4634146341
36,14,96.8421052632
36,15,102.60591133
36,16,100.434285714
36,17,103.612121212
36,18,104.898412698
36,19,105.037037037
